domain, date_found, wallet_address, wallet_role, chain, resolver_contract, tria_ge_link, notes
smartvacuum.gr, 2026-03-13, 0xCaf2C54E400437da717cF215181B170F65187aBf, operator, polygon, 0xb36482fE794B895695914779Db3909b471D1aA43, NA, "This is before I started using tria.ge. It can be reverse engineered from the css.js file."
www.perthdisabilityservices.com.au, 2026-07-05, 0xCaf2C54E400437da717cF215181B170F65187aBf, operator, polygon, 0xB6bC9e1D0b2fB96Ab7C47E04Cb0BE477410bC1f2, https://tria.ge/260705-v7h9nsev8v/, ""
www.mahmoodandsons.com, 2026-07-06, 0xCaf2C54E400437da717cF215181B170F65187aBf, operator, polygon, 0xB6bC9e1D0b2fB96Ab7C47E04Cb0BE477410bC1f2, https://tria.ge/260706-wrgataaz5v/, ""
magichomesgurgaon.com, 2026-07-07, 0xCaf2C54E400437da717cF215181B170F65187aBf, operator, polygon, 0xB6bC9e1D0b2fB96Ab7C47E04Cb0BE477410bC1f2, https://tria.ge/260708-abnjasg13n/, ""
www.perthdisabilityservices.com.au, 2026-07-07, 0xCaf2C54E400437da717cF215181B170F65187aBf, operator, polygon, 0xB6bC9e1D0b2fB96Ab7C47E04Cb0BE477410bC1f2, https://tria.ge/260708-ae336ags7y/, ""
winsoncapital.com, 2026-07-07, 0xCaf2C54E400437da717cF215181B170F65187aBf, operator, polygon, 0xB6bC9e1D0b2fB96Ab7C47E04Cb0BE477410bC1f2, https://tria.ge/260707-311jdagz9n/, ""
tabeerkhwab.com, 2026-07-09, 0x25a7625b3c74bb0452333C8D7F463a2f640FA5aF, operator, bsc_testnet, 0x7Fd85c090f2b35071C57a3b9FeAF462aaEb0E437, https://tria.ge/260709-1d23ksaz9w/, ""
sowtalarab.com, 2026-07-10, 0xCaf2C54E400437da717cF215181B170F65187aBf, operator, polygon, 0xB6bC9e1D0b2fB96Ab7C47E04Cb0BE477410bC1f2, https://tria.ge/260710-yb7tyafy9n/, ""
cmil.lk, 2026-07-10, 0xa70B18ebb5C1cF9Ee533A019975F09Aed4d276b5, operator, polygon, 0xBF208EE70DE2B68DeBfFaa740E190eD76fBE3b4C, https://tria.ge/260710-yhc8xaf14p/, ""
cmil.lk, 2026-07-10, 0xCaf2C54E400437da717cF215181B170F65187aBf, operator, polygon, 0xB6bC9e1D0b2fB96Ab7C47E04Cb0BE477410bC1f2, https://tria.ge/260710-yhc8xaf14p/, ""
tripver.com, 2026-07-10, 0x88361C914Bb0942da9a1b7Bb396a7513C1917aee, operator, sepolia_testnet, 0xf8290bea4e7585302ba9984b76766d4f0e282c0e, https://tria.ge/260710-zg39dag16n/, ""
silkaspire.com, 2026-07-11, 0xCaf2C54E400437da717cF215181B170F65187aBf, operator, polygon, 0xB6bC9e1D0b2fB96Ab7C47E04Cb0BE477410bC1f2, https://tria.ge/260711-3nkx6adt3t/, ""
sowtalarab.com, 2026-07-11, 0xCaf2C54E400437da717cF215181B170F65187aBf, operator, polygon, 0xB6bC9e1D0b2fB96Ab7C47E04Cb0BE477410bC1f2, https://tria.ge/260711-3qmjrsbs3j/, ""
tabeerkhwab.com, 2026-07-12, 0x25a7625b3c74bb0452333C8D7F463a2f640FA5aF, operator, bsc_testnet, 0x7Fd85c090f2b35071C57a3b9FeAF462aaEb0E437, https://tria.ge/260712-xlrp2afx2q/, ""
cmil.lk, 2026-07-13, 0xa70B18ebb5C1cF9Ee533A019975F09Aed4d276b5, operator, polygon, 0xBF208EE70DE2B68DeBfFaa740E190eD76fBE3b4C, https://tria.ge/260713-zwppjagw3m/, ""
cmil.lk, 2026-07-13, 0xCaf2C54E400437da717cF215181B170F65187aBf, operator, polygon, 0xB6bC9e1D0b2fB96Ab7C47E04Cb0BE477410bC1f2, https://tria.ge/260713-zwppjagw3m/, ""
lamilagobespoketailors.com.au, 2026-07-15, 0xCaf2C54E400437da717cF215181B170F65187aBf, operator, polygon, 0xB6bC9e1D0b2fB96Ab7C47E04Cb0BE477410bC1f2, https://tria.ge/260715-bskpeabx3y/, ""
lamilagobespoketailors.com.au, 2026-07-15, 0xa70B18ebb5C1cF9Ee533A019975F09Aed4d276b5, operator, polygon, 0xf5966808a9ECbdb8794F568922809C52b0Fd2446, https://tria.ge/260715-bskpeabx3y/, ""
www.redes-solidarias.org.ar, 2026-07-15, 0x2c9dDF1De622dA1997613Cf0498fF8Bd1E6833E9, operator, polygon, 0xb6BE32f00cD80b27ed2B94c10dce991d0D27aef0, https://tria.ge/260715-xslglaf15x/, ""
www.redes-solidarias.org.ar, 2026-07-15, 0xb0425bF235A2275735C8C5d668Aa0273C65970b9, operator, polygon, 0x9130ec7e8B20646ad30E1386d1b45Cd26EB0e07b, https://tria.ge/260715-xslglaf15x/, ""
www.redes-solidarias.org.ar, 2026-07-15, 0xCaf2C54E400437da717cF215181B170F65187aBf, operator, polygon, 0xB6bC9e1D0b2fB96Ab7C47E04Cb0BE477410bC1f2, https://tria.ge/260715-xslglaf15x/, ""
